Release,Maint. (VM),%Vmaint.,Jdiff %,LOC,%VLOC,TBR,#JF,%VJF,%ConcrC,%VConcrC,%PLC,%VPLC,%PBC,%VPBC,ACCx,VACCx,AMITC,%VAMITC,AICTC,%VAICTC,AAFTC,%VAAFTC,ADAC,%VADAC,ADEC,%VADEC,#TTC,%VTTC,#TTCR,%VTTCR,ATCC,%VATCC,#TLOC,%VTLOC,ALOCC,%VALOCC,ALOCTC,%VALOCTC
0.8.2,0.14071,--,--,25499,--,--,114,--,71.05%,--,40.31%,--,27.26%,--,3.1516440693,--,11.2755991476,--,3.710815885,--,8.6706024828,--,2.2903225806,--,1.5,--,1601108,--,1157247,--,25824.32,--,31127799,--,502061.27,--,19.44,--
0.8.3,0.14251,1.28%,+6.00%,25868,+1.45%,30,116,+1.75%,71.55%,+0.70%,41.27%,+2.36%,27.88%,+2.29%,3.1106450954,-1.30%,11.4244731805,+1.32%,3.8521048047,+3.81%,8.8864663439,+2.49%,2.3125,+0.97%,1.46875,-2.08%,1596989,-0.26%,1178783,+1.86%,24952.95,-3.37%,31414000,+0.92%,490843.75,-2.23%,19.67,+1.18%
0.8.4,0.13715,-3.76%,+6.00%,26030,+0.63%,22,118,+1.72%,71.19%,-0.51%,40.58%,-1.67%,27.45%,-1.54%,3.0365599005,-2.38%,11.5021794572,+0.68%,4.1615135289,+8.03%,9.0107640254,+1.40%,2.3968253968,+3.65%,1.4285714286,-2.74%,1279447,-19.88%,962142,-18.38%,20308.68,-18.61%,25724691,-18.11%,408328.43,-16.81%,20.11,+2.21%
0.8.5,0.13840,0.91%,+6.00%,26683,+2.51%,17,118,+0.00%,71.19%,+0.00%,39.69%,-2.18%,27.37%,-0.31%,3.0608652389,+0.80%,11.8652297875,+3.16%,3.8737730558,-6.91%,9.1706438264,+1.77%,2.3968253968,+0.00%,1.4444444444,+1.11%,1281945,+0.20%,945572,-1.72%,20348.33,+0.20%,25671539,-0.21%,407484.75,-0.21%,20.03,-0.40%
