Release,Maint. (VM),%Vmaint.,Jdiff %,LOC,%VLOC,TBR,#JF,%VJF,%ConcrC,%VConcrC,%PLC,%VPLC,%PBC,%VPBC,ACCx,VACCx,AMITC,%VAMITC,AICTC,%VAICTC,AAFTC,%VAAFTC,ADAC,%VADAC,ADEC,%VADEC,#TTC,%VTTC,#TTCR,%VTTCR,ATCC,%VATCC,#TLOC,%VTLOC,ALOCC,%VALOCC,ALOCTC,%VALOCTC
0.5,0.14540,--,--,2564,--,--,23,--,95.65%,--,67.45%,--,40.83%,--,1.6840909091,--,14.2287034576,--,3.0517669971,--,12.851406071,--,2.7142857143,--,0.9047619048,--,447737,--,558678,--,21320.81,--,10595802,--,504562.00,--,23.67,--
0.5.1,0.14540,0.00%,+0.00%,2564,+0.00%,363,23,+0.00%,95.65%,+0.00%,66.56%,-1.31%,40.83%,+0.00%,1.6840909091,+0.00%,14.1194504139,-0.77%,3.1592548679,+3.52%,12.7982969282,-0.41%,2.7142857143,+0.00%,0.9047619048,+0.00%,458818,+2.47%,574638,+2.86%,21848.48,+2.47%,10651063,+0.52%,507193.48,+0.52%,23.21,-1.91%
0.6,0.18802,29.32%,+22.00%,1832,-28.55%,70,23,+0.00%,95.65%,+0.00%,70.04%,+5.23%,41.41%,+1.40%,2.0378787879,+21.01%,17.911556718,+26.86%,2.7758056291,-12.14%,16.5825935491,+29.57%,3,+10.53%,1.5909090909,+75.84%,547119,+19.25%,585816,+1.95%,24869.05,+13.83%,14644857,+37.50%,665675.32,+31.25%,26.77,+15.31%
0.6-std,0.17540,-6.71%,+0.00%,1782,-2.73%,0,23,+0.00%,95.65%,+0.00%,70.11%,+0.09%,42.06%,+1.59%,2.0361742424,-0.08%,18.0158624848,+0.58%,2.712043209,-2.30%,16.6923594324,+0.66%,3,+0.00%,1.5454545455,-2.86%,545627,-0.27%,584522,-0.22%,24801.23,-0.27%,14547945,-0.66%,661270.23,-0.66%,26.66,-0.39%
0.7,0.19729,12.48%,+17.00%,1831,+2.75%,263,24,+4.35%,100.00%,+4.55%,68.27%,-2.62%,44.44%,+5.66%,2.8258989621,+38.78%,19.331950148,+7.31%,2.9016696487,+6.99%,17.8597155292,+6.99%,3.125,+4.17%,1.6666666667,+7.84%,488486,-10.47%,541861,-7.30%,20353.58,-17.93%,14014744,-3.67%,583947.67,-11.69%,28.69,+7.60%
0.8,0.19795,0.33%,+0.00%,1824,-0.38%,267,24,+0.00%,100.00%,+0.00%,71.09%,+4.14%,50.69%,+14.06%,2.8258989621,+0.00%,19.0126379319,-1.65%,2.7909376079,-3.82%,17.6280053117,-1.30%,3.125,+0.00%,1.6666666667,+0.00%,486472,-0.41%,547221,+0.99%,20269.67,-0.41%,13292248,-5.16%,553843.67,-5.16%,27.32,-4.76%
