Release,Maint. (VM),%Vmaint.,Jdiff %,LOC,%VLOC,TBR,#JF,%VJF,%ConcrC,%VConcrC,%PLC,%VPLC,%PBC,%VPBC,ACCx,VACCx,AMITC,%VAMITC,AICTC,%VAICTC,AAFTC,%VAAFTC,ADAC,%VADAC,ADEC,%VADEC,#TTC,%VTTC,#TTCR,%VTTCR,ATCC,%VATCC,#TLOC,%VTLOC,ALOCC,%VALOCC,ALOCTC,%VALOCTC
0.5,0.20744,--,--,3611,--,--,60,+0.00%,93.33%,+0.00%,39.02%,+0.00%,9.32%,+0.00%,3.7680059524,+0.00%,15.4434878286,+0.00%,1.4256805973,+0.00%,8.1508176578,+0.00%,1.6785714286,+0.00%,0.6428571429,--,1105169,+0.00%,901539,+0.00%,19735.16,+0.00%,28545471,+0.00%,509740.55,+0.00%,25.83,+0.00%
0.51,0.20323,-2.03%,+4.00%,4057,+12.35%,4,61,+1.67%,93.44%,+0.12%,36.41%,-6.69%,7.61%,-18.38%,3.7387635756,-0.78%,15.2805439008,-1.06%,1.4575395623,+2.23%,7.7611268492,-4.78%,1.701754386,+1.38%,0.6315789474,-1.75%,1316343,+19.11%,1095810,+21.55%,23093.74,+17.02%,33347808,+16.82%,585049.26,+14.77%,25.33,-1.92%
0.6,0.20323,0.00%,+0.00%,4057,+0.00%,3,61,+0.00%,93.44%,+0.00%,35.94%,-1.29%,7.61%,+0.00%,3.7387635756,+0.00%,16.1015118609,+5.37%,1.4148963385,-2.93%,8.4534678142,+8.92%,1.701754386,+0.00%,0.6315789474,+0.00%,1669135,+26.80%,1370083,+25.03%,29283.07,+26.80%,43885730,+31.60%,769925.09,+31.60%,26.29,+3.78%
0.69,0.19597,-3.57%,+18.00%,5379,+32.59%,4,84,+37.70%,91.67%,-1.90%,34.68%,-3.51%,7.44%,-2.20%,3.8565183649,+3.15%,15.82511306,-1.72%,1.4044756545,-0.74%,8.6390887106,+2.20%,1.6883116883,-0.79%,0.6233766234,-1.30%,1826906,+9.45%,1435948,+4.81%,23726.05,-18.98%,48531230,+10.59%,630275.71,-18.14%,26.56,+1.04%
0.7,0.19597,0.00%,+0.00%,5453,+1.38%,3,84,+0.00%,91.67%,+0.00%,35.00%,+0.93%,7.23%,-2.79%,3.9155328798,+1.53%,15.8430819752,+0.11%,1.408440527,+0.28%,8.64979935,+0.12%,1.7012987013,+0.77%,0.6233766234,+0.00%,1829554,+0.14%,1438457,+0.17%,23760.44,+0.14%,48619823,+0.18%,631426.27,+0.18%,26.57,+0.04%
0.8,0.19471,-0.64%,+3.00%,6091,+11.70%,12,86,+2.38%,91.86%,+0.21%,33.89%,-3.17%,7.19%,-0.61%,4.0412397026,+3.21%,16.0123339464,+1.07%,1.3620739981,-3.29%,9.1738965996,+6.06%,1.7721518987,+4.16%,0.6202531646,-0.50%,2490687,+36.14%,1928685,+34.08%,31527.68,+32.69%,66591322,+36.96%,842928.13,+33.50%,26.74,+0.61%
0.81,0.17350,-10.89%,+14.00%,3767,-38.15%,23,70,-18.60%,90.00%,-2.03%,43.14%,+27.30%,9.87%,+37.22%,3.6827034518,-8.87%,16.5898332288,+3.61%,1.4278470096,+4.83%,9.0422365605,-1.44%,1.8571428571,+4.80%,0.5238095238,-15.55%,2168240,-12.95%,1850987,-4.03%,34416.51,+9.16%,56683043,-14.88%,899730.84,+6.74%,26.14,-2.22%
